id_exp,modelo,algoritmo,param_K,param_linkage,base_pca,silhueta,slice
1,Elmo,agglomerative,3,average,3,0.98,algoritimo = Elmo; link = average; pca = 3
2,Elmo,agglomerative,3,average,6,0.98,algoritimo = Elmo; link = average; pca = 6
3,Elmo,agglomerative,3,average,12,0.98,algoritimo = Elmo; link = average; pca = 12
4,Elmo,agglomerative,3,complete,3,0.98,algoritimo = Elmo; link = complete; pca = 3
5,Elmo,agglomerative,3,complete,6,0.98,algoritimo = Elmo; link = complete; pca = 6
6,Elmo,agglomerative,3,complete,12,0.98,algoritimo = Elmo; link = complete; pca = 12
7,Elmo,agglomerative,3,single,3,0.98,algoritimo = Elmo; link = single; pca = 3
8,Elmo,agglomerative,3,single,6,0.98,algoritimo = Elmo; link = single; pca = 6
9,Elmo,agglomerative,3,single,12,0.98,algoritimo = Elmo; link = single; pca = 12
10,Elmo,agglomerative,6,average,3,0.93,algoritimo = Elmo; link = average; pca = 3
11,Elmo,agglomerative,6,average,6,0.94,algoritimo = Elmo; link = average; pca = 6
12,Elmo,agglomerative,6,average,12,0.94,algoritimo = Elmo; link = average; pca = 12
13,Elmo,agglomerative,6,complete,3,0.95,algoritimo = Elmo; link = complete; pca = 3
14,Elmo,agglomerative,6,complete,6,0.93,algoritimo = Elmo; link = complete; pca = 6
15,Elmo,agglomerative,6,complete,12,0.95,algoritimo = Elmo; link = complete; pca = 12
16,Elmo,agglomerative,6,single,3,0.93,algoritimo = Elmo; link = single; pca = 3
17,Elmo,agglomerative,6,single,6,0.93,algoritimo = Elmo; link = single; pca = 6
18,Elmo,agglomerative,6,single,12,0.93,algoritimo = Elmo; link = single; pca = 12
19,Elmo,agglomerative,12,average,3,0.89,algoritimo = Elmo; link = average; pca = 3
20,Elmo,agglomerative,12,average,6,0.90,algoritimo = Elmo; link = average; pca = 6
21,Elmo,agglomerative,12,average,12,0.91,algoritimo = Elmo; link = average; pca = 12
