product_category_name,order_item_id,price,freight_value,review_score,review_comment_title,review_comment_message
perfumaria,1,10.91,7.39,5,Vale a pena ,Super adooorei o delineador ele é bem preto e eu smp usei o da Mac e serio o da belle angel me surpreendeu pq eu achei que por ser barato iria ser ruim mas NAO é ... o unico problema é q ele é pequeno
bebes,1,112.3,9.54,1,produto divergente,"modelo comprado: travesseiro memoria carinho BABY PILLOW / modelo entregue: travesseiro memoria carinho PRAM PILLOW.
Até o momento nenhum posicionamento do vender para a troca"
cama_mesa_banho,1,41.99,13.87,5,Super Recomendo,"Entrega super rápida! 
"
cama_mesa_banho,2,41.99,13.87,5,Super Recomendo,"Entrega super rápida! 
"
moveis_decoracao,1,79.9,18.14,5,Ótimo,Chegou rápido e são lindos!
moveis_decoracao,1,79.9,12.7,5,Amei,Exatamente como na foto e de otima qualidade... chegou antes do prazo... recomendo...
moveis_decoracao,1,69.9,18.29,5,Bom,Produto bonito
informatica_acessorios,1,38.9,50.99,4,Chegou rapido,"adorei a minha pasta multi-uso,chegou rapido"
moveis_escritorio,1,89.99,24.24,4,Custo x Benefício Otimo,"Cadeira fácil de montar, confortável. A entrega é um pouco demorada, mas mesmo assim chegou antes do prazo."
eletronicos,1,24.0,7.39,3,Bom produto,"Atende o objetivo, porém a porta hdmi 2 apresenta falha na imagem ao ligar o hdmi do notebook."
brinquedos,1,97.88,19.66,5,Robô de brinquedo,Ótimo produto eu recomendo
cool_stuff,1,637.3,142.47,1,Não recebi o produto ,Não recebi o produto e o prazo acabou 
esporte_lazer,1,99.9,9.45,4,recomendo,e bomcomprtar ns lojas lannister
relogios_presentes,1,99.9,15.58,5,Muito bom,"Muito bom o atendimento e o produto é ótimo muito bom,amei......"
perfumaria,1,275.0,23.48,3,Não passou confiança ,"O fornecedor e a nf é de São Paulo, o produto veio do Paraná, na nota fiscal veio na descrição de 4 perfumes de 75,00 cada, não descreveu o que eu realmente comprei, um perfume Dolce Gabbana de 300,00"
perfumaria,1,319.9,15.45,5,Muito bom !!,Recomendo tanto o site lannister quanto a loja parceira targaryen .
perfumaria,1,275.0,23.48,1,Não recebimento ,Não recebi o produto
relogios_presentes,1,149.0,22.75,5,Recomendo,"Entregue antes do prazo, super recomendo! 
"
cama_mesa_banho,1,180.0,19.06,5,Recomendo,Bom produto
beleza_saude,1,126.0,34.64,1,atrazado,não recebi ainda
beleza_saude,1,32.0,7.48,1,Decepcionado.,"Todo correto, exceto o produto que é de péssima qualidade."
beleza_saude,1,32.0,7.48,3,Médio ,Não recebi na cor que estava no anúncio 
beleza_saude,1,32.0,7.48,3,Insatisfeito,No site o produto parece ter melhor qualidade de material e acabamento.
informatica_acessorios,1,298.0,20.19,5,SUPER RECOMENDO,"Chegou rapidíssimo. Adorei o produto. A única coisa que achei ruim, porém sem um conceito totalmente formado, é sobre a duração da bateria. Fora isso perfeito. A imagem super nítida."
relogios_presentes,1,65.0,18.56,1,Produto com defeito,O produto tem um pequeno defeito e eu solicitei a troca. Estou aguardando instruções.
esporte_lazer,1,49.9,15.45,5,Excelente,"Entrega super rápida.muito bom
"
esporte_lazer,1,49.9,12.79,3,bom,pensava que os anzóis eram maiores mas ta bom !!
esporte_lazer,1,49.9,46.91,5,recomendado,muito bom atendimento produtos corretos 
esporte_lazer,2,58.9,7.04,5,recomendado,muito bom atendimento produtos corretos 
casa_construcao,1,119.85,43.12,4,Luminárias ,Bom
casa_construcao,1,119.85,11.86,5,super recomendo,"Produto lindo,adorei!!"
casa_construcao,1,119.85,11.86,5,super recomendo,"Fiquei muito satisfeita com o produto,fiz um pedido especial para entrega ,e eles acolheram este pedido,que pra mim fez toda a diferença.Muito feliz obrigada nota 10."
casa_construcao,1,119.85,15.15,3,Prazo,Só o prazo que um pouco estenso 
casa_construcao,1,119.85,15.15,5,Excelente ,Fiquei muito satisfeito com o trabalho realizado pela empresa. 
pet_shop,1,399.0,17.86,5,Recomendo muito bom,"Chegou antes da data prevista, tudo ok"
pet_shop,1,399.0,29.52,4,Maquina de Tosa ,"Ainda não foi feito tosa com ela , mais em principio muito boa "
pet_shop,1,399.0,17.86,5,"Otimo,eu recomendo","O produto chegou certinho bem embalado ,lacrado e chegou bem antes do prazo combinado ,fiquei muito satisfeita com minha compra eu recomendo as lojas lannister ."
pet_shop,1,399.0,17.64,5,Excelente.,Super indico tanto a loja como o prpduto máquina leve sem barulho trabalho perfeito entregue antes do prazo amei 👏👏👏👏👏
consoles_games,1,29.99,7.39,5,Muito Bom,Chegou muito antes do prazo estimado
esporte_lazer,1,49.9,18.23,5,Recomendo 100%.,Recebi o produto exatamente de acordo com o pedido e dentro do prazo previsto. Parabéns a targaryen e ao stark.
